Proteome_ID	Tax_ID	Clade	kingdom	phylum	class	order	family	genus	species	mnemo
UP000005640	9606	Homo	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	Hsap
UP000001038	8090	Craniata	Eukaryota	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes	Olat
UP000515135	7741	Chordata	Eukaryota	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma belcheri	Bbel
UP000007110	7668	Deuterostomia	Eukaryota	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus purpuratus	Spur
UP000014760	283909	Protostomia	Eukaryota	Annelida	Polychaeta		Capitellidae	Capitella	Capitella teleta	Ctel
UP000000305	6669	Protostomia	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulex	Dpul
UP000594262	252671	Cnidaria	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia hemisphaerica	Chem
UP000001593	45351	Cnidaria	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis	Nvec
UP000009022	10228	Placozoa	Eukaryota	Placozoa			Trichoplacidae	Trichoplax	Trichoplax adhaerens	Tadh
UP000007879	400682	Porifera	Eukaryota	Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica	Aque
UP000001357	81824	Early-branching Holozoa	Eukaryota		Choanoflagellata	Craspedida	Salpingoecidae	Monosiga	Monosiga brevicollis	Mbre
UP000008743	595528	Early-branching Holozoa	Eukaryota		Filasterea			Capsaspora	Capsaspora owczarzaki	Cowc
UP000054560	667725	Early-branching Holozoa	Eukaryota		Ichthyosporea	Ichthyophonida		Sphaeroforma	Sphaeroforma arctica	Sarc
UP000001805	367110	Holomycota	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora crassa	Ncra
UP000000561	237631	Holomycota	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago maydis	Umay
UP000053201	645134	Holomycota	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	Spun
UP000002195	44689	Amoebozoa	Eukaryota	Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum	Ddis
UP000006548	3702	other Eukaryotes	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	Atha
