Proteome_ID	Tax_ID	Clade	kingdom	phylum	class	order	family	genus	species	mnemo
UP000001805	367110	Neurospora crassa	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora crassa	Ncra
UP000000560	227321	Eurotiomycetes	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Enid
UP000002311	559292	Saccharomycetes	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Scer
UP000002485	284812	Schizosaccharomycetes	Eukaryota	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces pombe	Spom
UP000054549	946122	Basidiomycota	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria	Amus
UP000000561	237631	Basidiomycota	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago maydis	Umay
UP000014254	1220926	Mucoromycota	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Mcir
UP000242474	763665	Zoopagomycota	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	Crev
UP000070444	796925	Zoopagomycota	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	Ccor
UP000193411	765915	Blastocladiomycota	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Catenariaceae	Catenaria	Catenaria anguillulae	Cang
UP000070544	1344416	Chytridiomycota	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera	Gpro
UP000053201	645134	Chytridiomycota	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	Spun
UP000030693	691883	Early-branching Holomycota	Eukaryota			Rotosphaerida	Fonticulaceae	Fonticula	Fonticula alba	Falb
UP000008743	595528	Holozoa	Eukaryota		Filasterea			Capsaspora	Capsaspora owczarzaki	Cowc
UP000001593	45351	Holozoa	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis	Nvec
UP000005640	9606	Holozoa	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	Hsap
UP000002195	44689	other Eukaryotes	Eukaryota	Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum	Ddis
UP000006548	3702	other Eukaryotes	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	Atha
